water_area,continent,country,state,county,year
Atlantic Ocean North,North America,USA,Florida,Palm Beach County,1988
Atlantic Ocean North,North America,USA,Florida,Palm Beach County,1988
Atlantic Ocean North,North America,USA,Florida,Palm Beach County,1988
Atlantic Ocean North,North America,USA,Florida,Martin County,1988
Atlantic Ocean North,North America,USA,Florida,Volusia County,1988
Atlantic Ocean North,North America,USA,Florida,Brevard County,1988
Pacific Ocean South,Australia,Australia,South Australia,,1988
Atlantic Ocean North,North America,USA,Florida,St. Lucie County,1988
Pacific Ocean South,Australia,Australia,Victoria,,1988
Pacific Ocean North,Pacific Ocean Islands,USA,Hawaii,Kauai,1988
Atlantic Ocean North,North America,USA,Florida,Palm Beach County,1988
Indian Ocean,Africa,Republic of South Africa,KwaZulu-Natal,Mtunzini,1988
Indian Ocean,Africa,Republic of South Africa,KwaZulu-Natal,Isipingo,1988
Indian Ocean,Africa,Republic of South Africa,Eastern Cape,East London,1988
Pacific Ocean North,North America,USA,California,San Luis Obispo County,1988
Atlantic Ocean North,North America,USA,North Carolina,Hyde County,1988
Pacific Ocean Islands,Asia,Japan,Ogasawara Islands; Tokyo,Minami Daito Jima,1988
Atlantic Ocean South,South America,Brazil,Sao Paulo,Guaruja,1988
Atlantic Ocean North,North America,USA,DIJ,DIJ,1988
Atlantic Ocean North,North America,USA,Florida,Volusia County,1988
Gulf of Mexico,North America,USA,Florida,Bay County,1988
Atlantic Ocean North,North America,USA,Florida,Brevard County,1987
Atlantic Ocean North,North America,USA,Florida,St. Johns County,1987
Atlantic Ocean Islands,North America,USA,Texas,Nueces County,1987
Gulf of Mexico,North America,USA,Texas,Nueces County,1987
Gulf of Mexico,North America,USA,Texas,Nueces County,1987
Gulf of Mexico Islands,North America,USA,Texas,Galveston County,1987
Pacific Ocean North,North America,USA,California,San Mateo County,1987
Atlantic Ocean North,North America,USA,Florida,Palm Beach County,1987
Atlantic Ocean North,North America,USA,Florida,Palm Beach County,1987
Atlantic Ocean North,North America,USA,Florida,Palm Beach County,1987
Atlantic Ocean North,North America,USA,Florida,Martin County,1987
Atlantic Ocean North,North America,USA,South Carolina,Horry County,1987
,Africa,Republic of South Africa,Western Cape,Still Bay,1987
Indian Ocean,Australia,Australia,Western Australia,Geographe Bay,1987
Pacific Ocean South,Pacific Ocean Islands,New Zealand,North Island,Taranaki,1987
Indian Ocean,Africa,Kenya,DIJ,Mombasa,1987
Indian Ocean,Africa,Kenya,DIJ,Mombasa,1987
Indian Ocean,Australia,Australia,Western Australia,DIJ,1987
Indian Ocean Area; creek or river,Australia,Australia,Northern Territory,DIJ,1987
Mediterranean Sea,Europe,France,,Golfe du Lyon,1986
Atlantic Ocean North,North America,USA,Florida,Martin County,1986
Atlantic Ocean North,North America,USA,Florida,Volusia County,1986
Indian Ocean,Africa,Republic of South Africa,KwaZulu-Natal,Durban,1986
Indian Ocean,Africa,Republic of South Africa,Eastern Cape,Port Elizabeth,1986
Indian Ocean,Africa,Republic of South Africa,Eastern Cape,East London,1986
Indian Ocean Area; creek or river,Africa,Republic of South Africa,Western Cape,Groot Brak River,1986
Atlantic Ocean South,South America,Brazil,Rio Grande do Sul,,1986
Atlantic Ocean North,North America,USA,Florida,Brevard County,1986
Mediterranean Sea,Europe,Spain,,,1986
Atlantic Ocean North,North America,USA,North Carolina,New Hanover County,1986
Indian Ocean,Australia,Australia,Cocos (Keeling) Islands,Direction Island,1986
Pacific Ocean,Australia,Australia,New South Wales,DIJ,1986
Atlantic Ocean North,North America,USA,Florida,Volusia County,1985
Atlantic Ocean North,North America,USA,Florida,Brevard County,1985
Atlantic Ocean North,North America,USA,South Carolina,Charleston County,1985
Atlantic Ocean North,North America,USA,Florida,Volusia County,1985
Atlantic Ocean North,North America,USA,South Carolina,Beaufort County,1985
Pacific Ocean North,Pacific Ocean Islands,USA,Hawaii,Oahu,1985
Pacific Ocean North,Pacific Ocean Islands,USA,Hawaii,Kauai,1985
Indian Ocean,Asia,Sri Lanka,,,1985
Persian Gulf; creek or river,Asia,Iran,Khuzestan,,1985
Indian Ocean,Africa,Republic of South Africa,KwaZulu-Natal,Umbogentwini,1985
Indian Ocean,Africa,Republic of South Africa,Eastern Cape,East London,1985
Atlantic Ocean North,North America,USA,North Carolina,New Hanover County,1985
Pacific Ocean North,North America,USA,California,Orange County,1985
Pacific Ocean North,North America,USA,California,Santa Barbara County,1985
Pacific Ocean North,North America,USA,California,Marin County,1985
Atlantic Ocean North,North America,USA,Delaware,DIJ,1985
Atlantic Ocean North,North America,USA,Delaware,DIJ,1985
Atlantic Ocean North,North America,USA,Florida,Brevard County,1985
Pacific Ocean South,Australia,Australia,Victoria,DIJ,1985
Atlantic Ocean North,North America,USA,Florida,Brevard County,1984
Atlantic Ocean North,North America,USA,Florida,Brevard County,1984
Atlantic Ocean North,North America,USA,Florida,Brevard County,1984
Atlantic Ocean North,North America,USA,Florida,Volusia County,1984
Pacific Ocean Area; harbor or bay,North America,USA,California,Marin County,1984
Atlantic Ocean North,North America,USA,Florida,St. Lucie County,1984
Atlantic Ocean North,North America,USA,Florida,Indian River County,1984
Pacific Ocean North,North America,USA,Oregon,Tillamook County,1984
Pacific Ocean North,Pacific Ocean Islands,USA,Hawaii,Oahu,1984
Atlantic Ocean North,North America,USA,Florida,Brevard County,1984
Atlantic Ocean South,Africa,Republic of South Africa,Western Cape,Muizenberg,1984
Pacific Ocean North,North America,USA,California,San Diego County,1984
Pacific Ocean South,Australia,Australia,New South Wales,Broken Head,1984
Pacific Ocean Islands,Pacific Ocean Islands,New Zealand,North Island,Auckland,1984
Atlantic Ocean South,South America,Brazil,Ceara,,1984
Atlantic Ocean North,North America,USA,Florida,Brevard County,1984
Atlantic Ocean North,North America,USA,Florida,Brevard County,1984
Indian Ocean,Africa,Mascarene Islands,Reunion Island,Saint-Paul,1984
Red Sea and Gulf of Aden,Africa,Sudan,Eastern Sudan,Port Sudan,1984
Indian Ocean,Australia,Australia,Western Australia,DIJ,1984
Pacific Ocean South,Australia,Australia,Tasmania,Tasmania,1984
DIJ,Australia,Australia,Tasmania,DIJ,1984
Mediterranean Sea,Europe,Italy,Liguria,Riomaggiore,1983
Pacific Ocean Islands,Pacific Ocean Islands,New Zealand,,,1983
Pacific Ocean Islands,Pacific Ocean Islands,New Zealand,South Island,Canterbury,1983
Atlantic Ocean North,North America,USA,Florida,Palm Beach County,1983
Atlantic Ocean North,North America,USA,Florida,Brevard County,1983
Pacific Ocean North,North America,USA,Oregon,Tillamook County,1983
Gulf of Mexico,North America,USA,Florida,Florida Keys,1983
Atlantic Ocean North,North America,USA,Florida,Indian River County,1983
Atlantic Ocean North,North America,USA,Florida,St. Lucie County,1983
Atlantic Ocean North,North America,USA,Florida,Volusia County,1983
Pacific Ocean South,North America,USA,,,1983
Atlantic Ocean North,North America,USA,Florida,Brevard County,1983
Atlantic Ocean North,North America,USA,Florida,Dade County,1983
Atlantic Ocean North,North America,USA,Florida,Martin County,1983
Indian Ocean,Africa,Republic of South Africa,KwaZulu-Natal,Mtunzini,1983
Atlantic Ocean South,Africa,Republic of South Africa,Western Cape,Muizenberg,1983
Indian Ocean,Africa,Republic of South Africa,Eastern Cape,East London,1983
Indian Ocean,Africa,Republic of South Africa,Eastern Cape,East London,1983
Indian Ocean Area; creek or river,Africa,Republic of South Africa,Eastern Cape,Fish River,1983
Atlantic Ocean South,South America,Brazil,Sao Paulo,Santos,1983
Indian Ocean,Africa,Republic of South Africa,Eastern Cape,East London,1983
Pacific Ocean Area; harbor or bay,North America,USA,California,San Mateo County,1983
Indian Ocean Islands,Australia,Australia,Tasmania,,1982
Pacific Ocean North,North America,USA,California,Sonoma County,1982
Atlantic Ocean North,North America,USA,Florida,Martin County,1982
Pacific Ocean South,Australia,Australia,New South Wales,Byron Bay,1982
Atlantic Ocean North,North America,USA,Florida,Palm Beach County,1982
Gulf of Mexico Islands,North America,USA,Florida,Collier County,1982
Indian Ocean,Africa,Republic of South Africa,KwaZulu-Natal,Durban,1982
Unknown,North America,USA,Florida,Volusia County,1982
Atlantic Ocean North,North America,USA,Florida,Volusia County,1982
Atlantic Ocean North,North America,USA,Florida,Brevard County,1982
Atlantic Ocean North,North America,USA,South Carolina,Charleston County,1982
Pacific Ocean North,Pacific Ocean Islands,USA,Hawaii,Oahu,1982
Pacific Ocean North,Pacific Ocean Islands,USA,Hawaii,Oahu,1982
Pacific Ocean North,Pacific Ocean Islands,USA,Hawaii,Maui,1982
Pacific Ocean North,North America,USA,California,San Luis Obispo County,1982
Pacific Ocean Area; harbor or bay,North America,USA,California,San Luis Obispo County,1982
Indian Ocean Area; creek or river,Africa,Republic of South Africa,Eastern Cape,Fish River,1982
Indian Ocean,Africa,Republic of South Africa,Eastern Cape,East London,1982
Indian Ocean,Africa,Republic of South Africa,Eastern Cape,East London,1982
East China Sea,Asia,Japan,Kumamoto Prefecture,,1982
,Australia,Australia,Tasmania,,1982
Atlantic Ocean South,Africa,Republic of South Africa,Western Cape,DIJ,1982
Indian Ocean,Africa,Republic of South Africa,Eastern Cape,No Specifics,1981
Atlantic Ocean North,North America,USA,Florida,Brevard County,1981
Atlantic Ocean North,North America,USA,Florida,Brevard County,1981
Pacific Ocean North,North America,USA,California,Monterey County,1981
Gulf of Mexico,North America,USA,Florida,Florida Keys,1981
Atlantic Ocean North,North America,USA,Florida,Palm Beach County,1981
Atlantic Ocean North,North America,USA,Florida,Palm Beach County,1981
Atlantic Ocean North,North America,USA,Florida,Palm Beach County,1981
Atlantic Ocean North,North America,USA,Florida,Palm Beach County,1981
Caribbean Sea,Caribbean Islands,Bahama Islands,Abaco Islands,,1981
Atlantic Ocean North,North America,USA,Florida,Pinellas County,1981
Caribbean Sea,Caribbean Islands,Bahama Islands,Bimini,Little Isaac Bank,1981
Atlantic Ocean North,North America,USA,Florida,Volusia County,1981
Atlantic Ocean North,North America,USA,Florida,Brevard County,1981
Atlantic Ocean North,North America,USA,Florida,Brevard County,1981
Gulf of Mexico Islands,North America,USA,Florida,Pinellas County,1981
Atlantic Ocean North,North America,USA,Florida,Brevard County,1981
Atlantic Ocean North,North America,USA,Florida,Brevard County,1981
Atlantic Ocean North,North America,USA,Florida,Brevard County,1981
Atlantic Ocean North,North America,USA,Florida,Brevard County,1981
Atlantic Ocean North,North America,USA,Florida,Palm Beach County,1981
Atlantic Ocean North,North America,USA,Florida,Martin County,1981
Pacific Ocean North,Pacific Ocean Islands,USA,Hawaii,Oahu,1981
Indian Ocean,Africa,Republic of South Africa,KwaZulu-Natal,Umtentweni,1981
Indian Ocean,Africa,Republic of South Africa,Eastern Cape,Port Elizabeth,1981
Indian Ocean,Africa,Republic of South Africa,Eastern Cape,East London,1981
Indian Ocean,Africa,Republic of South Africa,Eastern Cape,East London,1981
Atlantic Ocean South,South America,Brazil,Rio de Janeiro,Cabo Frio,1981
Indian Ocean,Africa,Mascarene Islands,Reunion Island,Saint-Pierre,1981
Atlantic Ocean North,North America,USA,Florida,Volusia County,1981
,Africa,Republic of South Africa,KwaZulu-Natal,Ballito,1980
Gulf of Mexico,North America,USA,Florida,Florida Keys,1980
Atlantic Ocean North,North America,USA,Delaware,,1980
Pacific Ocean North,Pacific Ocean Islands,USA,Hawaii,Maui,1980
Atlantic Ocean North,North America,USA,North Carolina,Brunswick County,1980
Pacific Ocean North,North America,USA,Oregon,Douglas County,1980
Pacific Ocean North,North America,USA,California,Humboldt County,1980
Indian Ocean,Africa,Republic of South Africa,Eastern Cape,Port Elizabeth,1980
Indian Ocean,Africa,Republic of South Africa,Eastern Cape,East London,1980
Indian Ocean,Africa,Republic of South Africa,Eastern Cape,East London,1980
Atlantic Ocean South,South America,Brazil,Sao Paulo,Sao Vicente,1980
Atlantic Ocean South,South America,Brazil,Rio de Janeiro,Rio de Janeiro,1980
Atlantic Ocean South,South America,Brazil,Pernambuco,Jaboatao dos Guararapes,1980
Pacific Ocean,Australia,Australia,Queensland,DIJ,1980
Mediterranean Sea,Europe,Greece,Dodecanese Islands,Kos Island,1980
South China Sea,Asia,Hong Kong,,,1979
Atlantic Ocean North,North America,USA,Florida,Palm Beach County,1979
Gulf of Mexico,North America,USA,Florida,Florida Keys,1979
Atlantic Ocean North,North America,USA,Florida,Volusia County,1979
Atlantic Ocean North,North America,USA,Florida,Brevard County,1979
Pacific Ocean North,North America,USA,Oregon,Clatsop County,1979
Pacific Ocean North,North America,USA,California,San Mateo County,1979
South China Sea,Asia,Hong Kong,Sai Kung,Hoi Ha Bay,1979
Atlantic Ocean North,North America,USA,Florida,Palm Beach County,1979
Indian Ocean,Africa,Republic of South Africa,Eastern Cape,Port Alfred,1979
Indian Ocean,Africa,Republic of South Africa,Eastern Cape,Kenton-on-Sea,1979
South China Sea,Asia,Singapore,DIJ,DIJ,1979
Mediterranean Sea,Europe,Italy,Latium,Anzio,1978
Atlantic Ocean North,North America,USA,Florida,Duval County,1978
Atlantic Ocean North,North America,USA,Florida,Duval County,1978
Atlantic Ocean North,North America,USA,Florida,Duval County,1978
Pacific Ocean North,Pacific Ocean Islands,USA,Hawaii,Oahu,1978
Atlantic Ocean North,North America,USA,Florida,Brevard County,1978
Pacific Ocean North,North America,USA,California,Santa Cruz County,1978
Atlantic Ocean North,North America,USA,Florida,Palm Beach County,1978
Indian Ocean,Africa,Republic of South Africa,KwaZulu-Natal,Other than Durban,1978
Pacific Ocean Islands,Pacific Ocean Islands,Marshall Islands,Enewetak Atoll,,1978
Pacific Ocean Islands,Pacific Ocean Islands,Marshall Islands,Enewetak Atoll,,1978
Pacific Ocean Islands,Australia,Australia,Queensland,Bribie Island,1978
Pacific Ocean North,Pacific Ocean Islands,Marshall Islands,Enewetak Atoll,DIJ,1978
Pacific Ocean South,Australia,Australia,Western Australia,DIJ,1978
Pacific Ocean Area; harbor or bay,North America,Mexico,Guerrero Territory,Acapulco,1977
Atlantic Ocean North,North America,USA,Florida,Martin County,1977
Atlantic Ocean North,North America,USA,Florida,Volusia County,1977
Caribbean Sea,North America,Mexico,Yucatan Territory,DIJ,1977
Pacific Ocean North,Pacific Ocean Islands,USA,Hawaii,Maui,1977
Atlantic Ocean North,North America,USA,Florida,Martin County,1977
Indian Ocean,Australia,Australia,South Australia,Ceduna,1977
Atlantic Ocean North,North America,USA,Florida,Brevard County,1977
Atlantic Ocean North,North America,USA,Florida,Brevard County,1977
Atlantic Ocean North,North America,USA,Florida,Volusia County,1977
Gulf of Mexico,North America,USA,Florida,Pinellas County,1977
,Africa,Republic of South Africa,Western Cape,Still Bay,1977
Indian Ocean,Africa,Republic of South Africa,Eastern Cape,,1977
Persian Gulf,Asia,United Arab Emerits,DIJ,DIJ,1977
Mediterranean Sea,Africa,Tunisia,,,1976
Atlantic Ocean North,North America,USA,Florida,Volusia County,1976
Atlantic Ocean North,North America,USA,Florida,Duval County,1976
Pacific Ocean North,Pacific Ocean Islands,USA,Hawaii,Maui,1976
Atlantic Ocean North,North America,USA,Florida,Palm Beach County,1976
Atlantic Ocean South,Africa,Republic of South Africa,Western Cape,Cape Town,1976
Pacific Ocean North,North America,USA,California,Humboldt County,1976
Pacific Ocean North,North America,USA,Oregon,,1976
Indian Ocean,Africa,Republic of South Africa,Eastern Cape,Cape St. Francis,1976
Atlantic Ocean South,South America,Brazil,Pernambuco,Jaboatao dos Guararapes,1976
Atlantic Ocean South,South America,Brazil,Pernambuco,Recife,1976
Atlantic Ocean North,North America,USA,North Carolina,Carteret County,1976
Gulf of Mexico,North America,USA,Florida,Pinellas County,1976
Atlantic Ocean North,North America,USA,Florida,Volusia County,1975
Atlantic Ocean North,North America,USA,Florida,Volusia County,1975
Gulf of Mexico,North America,USA,Alabama,,1975
Atlantic Ocean North,North America,USA,Florida,Volusia County,1975
Pacific Ocean North,North America,USA,California,Santa Barbara County,1975
Atlantic Ocean North,North America,USA,Florida,Volusia County,1975
Atlantic Ocean North,North America,USA,New Jersey,Monmouth County,1975
Atlantic Ocean North,North America,USA,Florida,Brevard County,1975
Gulf of Mexico,North America,USA,Florida,Florida Keys,1975
Atlantic Ocean North,North America,USA,Florida,Dade County,1975
Atlantic Ocean North,North America,USA,Florida,St. Johns County,1975
Indian Ocean,Africa,Republic of South Africa,Eastern Cape,Cape St. Francis,1975
Indian Ocean,Africa,Republic of South Africa,KwaZulu-Natal,Amanzimtoti,1975
Atlantic Ocean South,South America,Brazil,Sao Paulo,Santos,1975
Atlantic Ocean North,North America,USA,Florida,St. Lucie County,1975
Pacific Ocean North,North America,USA,California,Santa Barbara County,1975
Pacific Ocean South,Australia,Australia,Victoria,DIJ,1975
Pacific Ocean,Australia,Australia,New South Wales,DIJ,1975
Atlantic Ocean,Africa,Republic of South Africa,KwaZulu-Natal,DIJ,1975
Mediterranean Sea,Europe,Croatia,Dalmatia,Omis,1974
Pacific Ocean North,North America,USA,California,San Mateo County,1974
Indian Ocean,Africa,Republic of South Africa,KwaZulu-Natal,Amanzimtoti,1974
Pacific Ocean North,North America,USA,California,Marin County,1974
Pacific Ocean North,North America,USA,California,Monterey County,1974
Atlantic Ocean North,North America,USA,Florida,Volusia County,1974
Atlantic Ocean North,North America,USA,Florida,Volusia County,1974
Atlantic Ocean North,North America,USA,Florida,Volusia County,1974
Pacific Ocean North,North America,USA,California,San Mateo County,1974
Pacific Ocean Area; creek or river,North America,USA,Oregon,,1974
,Australia,Australia,South Australia,Ceduna,1974
South China Sea,Asia,Hong Kong,DIJ,DIJ,1974
Indian Ocean,Africa,Republic of South Africa,KwaZulu-Natal,Amanzimtoti,1974
Indian Ocean,Africa,Republic of South Africa,KwaZulu-Natal,Amanzimtoti,1974
Indian Ocean,Africa,Republic of South Africa,KwaZulu-Natal,Amanzimtoti,1974
Red Sea and Gulf of Aden,Asia,Israel,,,1974
South China Sea,Asia,Hong Kong,DIJ,DIJ,1974
South China Sea,Asia,Hong Kong,DIJ,DIJ,1974
South China Sea,Asia,Hong Kong,DIJ,DIJ,1974
South China Sea,Asia,Hong Kong,DIJ,DIJ,1974
Pacific Ocean North,North America,USA,California,San Mateo County,1974
Indian Ocean,Africa,Republic of South Africa,KwaZulu-Natal,Zululand,1974
Atlantic Ocean North,North America,USA,Virginia,Virginia Beach,1974
Atlantic Ocean North,North America,USA,New York,Suffolk County,1974
Pacific Ocean North,North America,Mexico,Guerrero Territory,Acapulco,1973
Pacific Ocean North,North America,Mexico,Guerrero Territory,Acapulco,1973
Pacific Ocean Area; harbor or bay,North America,Mexico,Guerrero Territory,Acapulco,1973
Pacific Ocean Islands,Pacific Ocean Islands,Federated States of Micronesia,Caroline Islands,,1973
Pacific Ocean North,Pacific Ocean Islands,USA,Hawaii,Maui,1973
Pacific Ocean North,Pacific Ocean Islands,USA,Hawaii,Maui,1973
Pacific Ocean North,North America,Mexico,Baja California,Isla de Guadalupe,1973
Pacific Ocean,Australia,Australia,Queensland,Cooktown,1973
Pacific Ocean Area; harbor or bay,Pacific Ocean Islands,New Zealand,South Island,Otago,1973
Atlantic Ocean North,North America,USA,Virginia,Virginia Beach County,1973
Pacific Ocean,Australia,Australia,New South Wales,DIJ,1973
Mediterranean Sea,Europe,France,Alpes-Maritimes,Antibes,1972
Pacific Ocean Islands,Pacific Ocean Islands,American Samoa,Tutuila Island,,1972
Pacific Ocean North,North America,Mexico,Guerrero Territory,Acapulco,1972
Pacific Ocean Islands,Pacific Ocean Islands,Marshall Islands,Enewetak Atoll,,1972
Pacific Ocean North,North America,USA,California,Monterey County,1972
Pacific Ocean Islands,Pacific Ocean Islands,New Zealand,North Island,Wellington,1972
Atlantic Ocean North,North America,USA,Florida,St. Lucie County,1972
Atlantic Ocean North,Caribbean Islands,Virgin Islands,St.Croix,,1972
Pacific Ocean North,North America,Mexico,Nayarit,DIJ,1972
Pacific Ocean,Pacific Ocean Islands,New Zealand,North Island,Wellington,1972
Mediterranean Sea,Europe,Croatia,Istria,,1971
Caribbean Sea,South America,Venezuela,,,1971
Caribbean Sea,South America,Venezuela,,,1971
Indian Ocean,Australia,Australia,Tasmania,No Specifics,1971
Pacific Ocean North,North America,Mexico,Guerrero Territory,Acapulco,1971
Pacific Ocean North,North America,USA,California,Santa Barbara County,1971
Atlantic Ocean North,North America,USA,Florida,Volusia County,1971
Pacific Ocean North,North America,USA,California,Sonoma County,1971
Pacific Ocean South,Pacific Ocean Islands,New Zealand,South Island,Otago,1971
Persian Gulf; creek or river,Asia,Iran,Khuzestan,Ahvaz,1971
Persian Gulf; creek or river,Asia,Iran,Khuzestan,Ahvaz,1971
,Africa,Republic of South Africa,Western Cape,Buffalo Bay,1971
,Africa,Republic of South Africa,Western Cape,Mossel Bay,1971
Atlantic Ocean South,Africa,Republic of South Africa,Western Cape,False Bay,1971
Atlantic Ocean North,Europe,United Kingdom,England,Devon,1971
Pacific Ocean,Australia,Australia,Queensland,DIJ,1971
Great Australian Bight,Australia,Australia,Western Australia,DIJ,1971
Atlantic Ocean North,North America,USA,Florida,St. Johns County,1970
Indian Ocean Area; creek or river,Africa,Republic of South Africa,KwaZulu-Natal,Other than Durban,1970
Gulf of Mexico,North America,USA,Florida,Manatee County,1970
Pacific Ocean North,North America,Mexico,Guerrero Territory,Acapulco,1970
Atlantic Ocean North,North America,USA,Florida,Brevard County,1970
Atlantic Ocean North,North America,USA,South Carolina,DIJ,1970
Indian Ocean,Africa,Mozambique,,,1970
Atlantic Ocean Area; creek or river,Australia,Australia,Victoria,Goolwa,1970
Atlantic Ocean Area; creek or river,Australia,Australia,Victoria,Goolwa,1970
Indian Ocean,Africa,Republic of South Africa,KwaZulu-Natal,Other than Durban,1970
Pacific Ocean South,Australia,Australia,Queensland,Surfer's Paradise,1970
Pacific Ocean Area; creek or river,Pacific Ocean Islands,Solomon Islands,,,1970
Pacific Ocean Islands,Pacific Ocean Islands,Kiribati,Line Islands,,1970
Pacific Ocean Islands,Pacific Ocean Islands,French Polynesia,Tuamotu Archipelago,,1970
Pacific Ocean Islands,Pacific Ocean Islands,Federated States of Micronesia,Caroline Islands,,1970
Pacific Ocean North,Pacific Ocean Islands,USA,Hawaii,Kauai,1970
Pacific Ocean Islands,Pacific Ocean Islands,Kiribati,Line Islands,Caroline Island,1970
Mediterranean Sea,Europe,Croatia,Istria,Cittanova,1970
Pacific Ocean North,Pacific Ocean Islands,USA,Hawaii,Kauai,1970
Pacific Ocean North,Pacific Ocean Islands,USA,Hawaii,Oahu,1969
Pacific Ocean South,Australia,Australia,Western Australia,Condon,1969
Atlantic Ocean North,North America,USA,Florida,Volusia County,1969
Gulf of Mexico,North America,USA,Florida,Pinellas County,1969
Pacific Ocean North,Open Ocean,USA,Hawaii,DIJ,1969
Indian Ocean,Australia,Australia,Western Australia,Swan River,1969
Pacific Ocean North,Pacific Ocean Islands,USA,Hawaii,Oahu,1969
Caribbean Sea,Caribbean Islands,Dominican Republic,,,1969
Caribbean Sea,Caribbean Islands,Cayman Islands,,,1969
Mediterranean Sea,Europe,Greece,,,1969
Gulf of Mexico,North America,USA,Florida,Florida Keys,1969
Coral Sea,Australia,Australia,Queensland,DIJ,1969
Mediterranean Sea,Europe,Greece,Thessaly,Trikeri Island,1969
Pacific Ocean South,Australia,Australia,New South Wales,,1968
Pacific Ocean South,Pacific Ocean Islands,Papua New Guinea,Papua,Central,1968
Atlantic Ocean North,North America,USA,Florida,Palm Beach County,1968
Indian Ocean,Africa,Republic of South Africa,KwaZulu-Natal,Mossel Bay,1968
Pacific Ocean South,Pacific Ocean Islands,Papua New Guinea,Papua,Morobe,1968
Pacific Ocean South,Pacific Ocean Islands,Papua New Guinea,New Bismark,New Ireland,1968
Pacific Ocean South,Pacific Ocean Islands,Papua New Guinea,,,1968
Gulf of Mexico,North America,USA,Florida,Florida Keys,1968
Atlantic Ocean North,North America,USA,Florida,Martin County,1968
Atlantic Ocean North,North America,USA,Florida,Palm Beach County,1968
Pacific Ocean South,Pacific Ocean Islands,New Zealand,South Island,Otago,1968
Atlantic Ocean North,North America,USA,Florida,Dade County,1968
Gulf of Mexico,North America,USA,Florida,Okaloosa County,1968
Indian Ocean,Africa,Republic of South Africa,KwaZulu-Natal,,1968
Atlantic Ocean North,North America,USA,Florida,Palm Beach County,1968
Indian Ocean Area; creek or river,Australia,Australia,Western Australia,Swan River,1968
,Africa,Republic of South Africa,KwaZulu-Natal,Richard's Bay,1968
Pacific Ocean South,Pacific Ocean Islands,New Zealand,South Island,Otago,1968
Pacific Ocean Islands,Pacific Ocean Islands,Kiribati,Line Islands,Palmyra Atoll,1968
Pacific Ocean Islands,Pacific Ocean Islands,Marshall Islands,,Eniwetok Atoll,1968
Pacific Ocean Islands,Pacific Ocean Islands,Papua New Guinea,DIJ,DIJ,1968
Pacific Ocean Islands,Pacific Ocean Islands,Papua New Guinea,DIJ,DIJ,1968
Pacific Ocean South,Pacific Ocean Islands,New Zealand,South Island,Otago,1967
Indian Ocean,Australia,Australia,Western Australia,,1967
Pacific Ocean South,Pacific Ocean Islands,Tonga,,,1967
Pacific Ocean South,Pacific Ocean Islands,Fiji Islands,,,1967
Sea of Japan,Asia,Japan,,,1967
Caribbean Sea,Caribbean Islands,Bahama Islands,Andros Islands,,1967
Pacific Ocean South,Pacific Ocean Islands,Fiji Islands,,,1967
Pacific Ocean South,Australia,Australia,South Australia,Port Hughes,1967
Gulf of Mexico,North America,USA,Florida,Florida Keys,1967
Pacific Ocean South,Pacific Ocean Islands,Papua New Guinea,Bismarck Archipelago,,1967
Atlantic Ocean North,North America,Bermuda Island,,,1967
Atlantic Ocean North,North America,USA,Florida,Palm Beach County,1967
Pacific Ocean South,Pacific Ocean Islands,Papua New Guinea,Papua,Central,1967
Atlantic Ocean North,North America,USA,Florida,Broward County,1966
Indian Ocean,Africa,Republic of South Africa,KwaZulu-Natal,Umkomaas,1966
Indian Ocean,Africa,Republic of South Africa,Eastern Cape,Port Alfred,1966
Pacific Ocean North,North America,USA,California,Monterey County,1966
Pacific Ocean Area; creek or river,Pacific Ocean Islands,New Zealand,North Island,Taranaki,1966
Pacific Ocean South,Australia,Australia,New South Wales,Coledale,1966
Pacific Ocean South,Australia,Australia,New South Wales,Jarvis Bay,1966
Gulf of Mexico,North America,USA,Texas,Galveston County,1966
Pacific Ocean South,Pacific Ocean Islands,Papua New Guinea,Bismarck Archipelago,East New Britian,1966
Gulf of Mexico,North America,USA,Texas,Galveston County,1966
Pacific Ocean,Australia,Australia,Queensland,Broomfield River,1966
Pacific Ocean South,Pacific Ocean Islands,Papua New Guinea,New Bismark,New Ireland,1966
Pacific Ocean South,Pacific Ocean Islands,Papua New Guinea,New Bismark,New Ireland,1966
Pacific Ocean South,Pacific Ocean Islands,Papua New Guinea,Bismarck Archipelago,East New Britian,1966
Pacific Ocean South,Australia,Australia,New South Wales,Bundagen,1966
Pacific Ocean North,Asia,Taiwan,,,1966
Caribbean Sea,Caribbean Islands,Bahama Islands,Bimini,Gun Cay,1966
Pacific Ocean South,Australia,Australia,Tasmania,No Specifics,1966
Indian Ocean,Asia,Maldive Islands,Gan Island,Addu Atoll,1966
Caribbean Sea,Caribbean Islands,Puerto Rico,,,1966
Atlantic Ocean North,North America,USA,Florida,Palm Beach County,1966
South China Sea,Australia,Australia,Victoria,Geelong,1966
Atlantic Ocean North,North America,USA,Florida,Dade County,1966
Atlantic Ocean North,North America,USA,New Jersey,Cape May County,1966
Pacific Ocean South,Australia,Australia,Victoria,Melbourne,1965
Indian Ocean,Africa,Republic of South Africa,KwaZulu-Natal,Durban,1965
Indian Ocean,Africa,Republic of South Africa,KwaZulu-Natal,Durban,1965
Indian Ocean Area; creek or river,Africa,Republic of South Africa,KwaZulu-Natal,Other than Durban,1965
Atlantic Ocean North,North America,USA,Florida,Broward County,1965
Atlantic Ocean North,North America,USA,Florida,Palm Beach County,1965
